,PupilMatchingRefAnonymous_AUT20,NCYearActual_AUT20,URN_AUT20,hh_id
2335806,6755,9,95068,hh_2605350
2336595,6757,10,95064,hh_3001065
2336603,6758,10,132193,hh_3001056
2341360,6760,10,95068,hh_3005798
2344365,6761,11,95064,hh_1457691
2344371,6762,10,95064,hh_2997981
2344408,6763,8,95063,hh_3006915
2350516,6764,10,95064,hh_2999336
2353455,6767,10,95063,hh_4657133
2353456,6768,10,132193,hh_3001215
2353544,6769,10,95064,hh_2996149
2353557,6770,9,132193,hh_3014490
2355741,6772,10,95062,hh_2604278
2358570,6773,12,95066,hh_1436049
2363277,6774,8,95062,hh_3004965
2363280,6776,8,95066,hh_2980221
2363289,6779,8,95068,hh_3007017
2363291,6781,9,95063,hh_4656441
2363292,6782,9,132193,hh_3007263
2363299,6785,8,95068,hh_4655867
2363300,6786,8,95065,hh_3005108
2363305,6787,8,95065,hh_3006206
2363540,6790,10,132193,hh_3000988
2365883,6793,10,95065,hh_4655912
2367554,6795,11,95066,hh_2982218
2369501,6797,11,95064,hh_2996816
2369673,6798,12,95066,hh_3005005
2372049,6802,12,95062,hh_3000609
2373291,6803,10,95071,hh_2596811
2374143,6804,9,95063,hh_4656522
2374144,6805,9,95066,hh_2979127
2375678,6807,8,95065,hh_1451848
2375695,6808,9,95071,hh_2584206
2377687,6811,9,95065,hh_3006697
2377691,6812,9,95065,hh_3004986
2377693,6814,9,95066,hh_2604248
2377694,6815,9,95067,hh_2980250
2377697,6818,8,95063,hh_2979930
2377700,6819,9,95064,hh_2999306
2377703,6821,9,95065,hh_2623868
2377705,6823,10,95061,hh_2980407
2377969,6825,10,95071,hh_2624009
2378138,6826,10,95065,hh_2604904
2378549,6828,10,95066,hh_3005758
2379648,6834,8,95061,hh_3000330
2379650,6836,9,95108,hh_2981988
2379651,6837,9,95062,hh_3006065
2386374,6847,8,95063,hh_2979075
2386376,6848,9,95063,hh_2979770
2386383,6854,9,95061,hh_3006600
2386384,6855,8,95061,hh_3000438
2386391,6859,9,132193,hh_3001907
2386395,6861,10,95065,hh_3006535
2386396,6862,9,95061,hh_2981415
2386400,6863,9,95071,hh_3005196
2386402,6864,9,95066,hh_2980025
2386404,6866,9,95061,hh_3007047
2386406,6867,9,95061,hh_2982258
2386407,6868,9,95066,hh_3005636
2386408,6869,9,95062,hh_3000696
2387088,6873,9,95064,hh_2999137
2387607,6874,11,95065,hh_2588229
2388962,6875,9,132193,hh_4996299
2396687,6880,10,95067,hh_2620339
2398985,6881,10,95066,hh_3005716
2399612,6882,8,95067,hh_3007079
2400674,6883,10,95062,hh_2604074
2403999,6884,10,132193,hh_3008168
2404559,6885,10,95018,hh_3001107
2408628,6890,10,95062,hh_3001864
2408939,6892,9,95061,hh_2981928
2409751,6895,10,95064,hh_2984952
2412114,6900,10,132193,hh_2993990
2416597,6902,10,95061,hh_2981295
2416682,6903,10,95061,hh_3000817
2417096,6906,10,95067,hh_2995661
2417130,6907,9,95071,hh_3020523
2417164,6908,10,95064,hh_2994203
2417829,6909,10,95062,hh_2566483
2418449,6911,10,95071,hh_2605416
2418450,6912,9,95065,hh_2982316
2418481,6913,10,95066,hh_3014495
2421310,6916,10,95065,hh_2603762
2422066,6917,9,95067,hh_4657097
2425973,6919,10,95065,hh_1451848
2429228,6923,9,95062,hh_3000294
2430863,6926,10,132193,hh_3001119
2441727,6935,10,95064,hh_2997452
2441731,6936,9,95064,hh_2998283
2445494,6938,10,95067,hh_2620244
2445696,6940,9,95071,hh_3020017
2447221,6943,9,95066,hh_2623922
2448772,6945,9,132193,hh_2996355
2449245,6947,10,95064,hh_3007992
2450804,6950,10,95064,hh_3007803
2452781,6954,10,95071,hh_1435958
2453168,6956,10,132193,hh_3001892
2453170,6957,10,95064,hh_2996061
2453194,6958,9,95064,hh_3000259
2455130,6964,11,95108,hh_2995674
2456023,6965,9,95064,hh_2999043
2456893,6968,9,95066,hh_3001387
2456964,6970,10,95068,hh_4996025
2457078,6971,10,95062,hh_3001297
2457146,6972,11,95067,hh_2983239
2458627,6973,10,95066,hh_2981126
2459076,6974,10,95067,hh_2982992
2460429,6976,9,95065,hh_1433180
2461122,6978,9,95068,hh_2605313
2464139,6982,9,95071,hh_2630666
2464488,6983,10,95062,hh_3014302
2465281,6984,10,95065,hh_4985223
2465956,6985,10,95067,hh_4228446
2466509,6986,10,95068,hh_2978904
2466522,6988,10,132193,hh_3001153
2470274,6996,9,95067,hh_2980484
2470281,6997,10,132193,hh_3002045
2470288,6999,9,95071,hh_2978926
2470298,7001,10,95061,hh_2980038
2470316,7002,10,132193,hh_3002053
2472232,7006,10,132193,hh_3001189
2473143,7008,10,95064,hh_2996149
2473147,7009,9,95064,hh_2996201
2475068,7010,10,132193,hh_3005569
2478702,7013,9,95063,hh_2980634
2478824,7016,10,95068,hh_3005159
2478845,7018,10,95064,hh_2995176
2478850,7019,10,132193,hh_3008311
2481477,7021,10,95063,hh_3007381
2481483,7022,9,95065,hh_2604825
2481926,7025,9,95068,hh_3006964
2484954,7029,10,95062,hh_4656528
2484961,7031,10,95071,hh_2980060
2485007,7033,9,95064,hh_3000887
2485041,7034,9,95071,hh_3000404
2485153,7040,9,95066,hh_3005970
2485497,7043,10,95062,hh_2564927
2485605,7044,10,95071,hh_1409746
2485645,7045,9,95066,hh_2981889
2486778,7046,10,95062,hh_2622595
2487128,7047,10,95071,hh_3007705
2488809,7050,10,95061,hh_3001113
2488887,7051,10,132193,hh_3014392
2489351,7052,9,95071,hh_2594640
2491238,7053,10,95068,hh_2980256
2491272,7055,9,95062,hh_2979103
2491282,7056,9,95067,hh_2979997
2491288,7057,10,95062,hh_2979861
2491411,7062,10,95061,hh_2981180
2491458,7064,10,95062,hh_3006333
2492066,7067,10,95062,hh_3004998
2492069,7069,9,95063,hh_4656076
2492070,7070,9,95063,hh_4656128
2492073,7073,9,95066,hh_2982415
2492074,7074,10,95066,hh_2627135
2492078,7076,9,95063,hh_2980352
2493176,7078,9,95071,hh_3008032
2493179,7079,9,95063,hh_4656435
2493750,7081,9,95068,hh_3007714
2493754,7082,10,95066,hh_3007608
2497708,7085,9,95071,hh_3001449
2497712,7087,9,95064,hh_3007760
2497713,7088,9,95063,hh_2979724
2498469,7091,10,95071,hh_2620462
2499499,7092,10,95064,hh_2994995
2499958,7093,10,95066,hh_2981736
2501377,7095,9,132193,hh_3009077
2502420,7097,9,95064,hh_2984159
2503599,7101,9,95065,hh_2982169
2503600,7102,9,95063,hh_2979701
2503604,7103,9,95063,hh_4656386
2503606,7105,9,95067,hh_4657139
2504506,7107,10,132193,hh_3000795
2504518,7108,10,95068,hh_3001043
2504651,7110,10,95066,hh_2981061
2505910,7112,10,95064,hh_3000004
2506608,7114,9,95062,hh_3006330
2507039,7116,10,95066,hh_2981753
2507905,7119,9,95063,hh_2979560
2507906,7120,9,95061,hh_3007347
2507907,7121,9,95065,hh_2605138
2511674,7124,10,95065,hh_2625126
2520203,7126,10,95066,hh_1432041
2520238,7127,10,95063,hh_2622058
2530588,7132,9,95065,hh_2603090
2530622,7134,10,95062,hh_2623226
2532146,7135,10,95066,hh_3005952
2533605,7136,10,95064,hh_3011070
2534723,7137,10,95065,hh_2603102
2535826,7138,10,95062,hh_2623782
2536878,7139,10,95067,hh_2981786
2538049,7141,9,95062,hh_3000234
2538055,7142,9,95065,hh_2982154
2538069,7143,10,95064,hh_3007854
2538071,7144,10,95063,hh_4575623
2538072,7145,11,132193,hh_3001872
2538075,7146,9,95062,hh_2623850
2538077,7147,9,95067,hh_2980583
2538348,7148,10,95062,hh_3000235
2541535,7150,10,95062,hh_2602543
2542487,7152,10,95065,hh_3006973
2545913,7154,10,95071,hh_2620548
2546595,7156,10,95071,hh_1428039
2548141,7158,10,95071,hh_2605307
2549293,7162,10,132193,hh_3008408
2550097,7163,10,132193,hh_3001937
2554108,7164,10,95062,hh_3008805
2555894,7167,9,95063,hh_2979832
2555896,7168,9,95068,hh_3008920
2555904,7170,9,95068,hh_3006500
2555911,7173,9,95065,hh_3001284
2555912,7174,9,95061,hh_2981290
2555916,7175,9,95066,hh_3005706
2556238,7176,10,95071,hh_2625809
2557851,7177,10,95068,hh_2981698
2557853,7179,9,95061,hh_3000389
2557854,7180,9,95068,hh_3005841
2559574,7183,10,95065,hh_3005381
2561649,7185,9,95062,hh_2624077
2562904,7186,10,95067,hh_1434604
2562905,7187,9,95062,hh_2605413
2565935,7193,10,132193,hh_3002155
2566501,7194,9,95064,hh_2996443
2571303,7196,9,95063,hh_2979104
2571305,7198,9,95061,hh_3006767
2571306,7199,9,95067,hh_3006869
2571312,7203,9,95062,hh_3000138
2571314,7204,9,95061,hh_3008031
2571315,7205,10,95063,hh_2979078
2571316,7206,9,95108,hh_2982306
2571317,7207,9,95063,hh_2980548
2571654,7209,10,132193,hh_3008415
2571673,7210,10,95062,hh_3006440
2571691,7211,9,95068,hh_2981401
2571780,7213,10,95065,hh_3005394
2571816,7214,10,95065,hh_3005772
2571817,7215,10,95066,hh_3005791
2571825,7216,9,95071,hh_3003011
2574497,7219,9,95066,hh_2582716
2576549,7220,9,95062,hh_2981238
2576553,7223,9,95068,hh_3005389
2578187,7231,9,95062,hh_3006965
2578189,7233,9,95066,hh_2981649
2578193,7235,9,95066,hh_2627135
2578194,7236,9,95063,hh_4656097
2578199,7238,9,95064,hh_2996184
2578202,7239,9,95068,hh_3005631
2578212,7241,8,95066,hh_2979229
2578970,7243,9,95071,hh_3005180
2579270,7244,9,95062,hh_1403603
2579271,7245,9,95063,hh_2979341
2579273,7246,9,95063,hh_2980028
2579275,7248,9,95063,hh_3006567
2579276,7249,9,95061,hh_2978891
2579279,7250,9,95108,hh_2981282
2579280,7251,9,95062,hh_2981750
2579286,7255,9,95061,hh_2980662
2579287,7256,9,95068,hh_2981146
2580885,7259,10,95067,hh_4576794
2581183,7260,9,95062,hh_2602883
2581749,7261,10,95066,hh_4995628
2581819,7263,10,132193,hh_3014255
2588485,7271,9,95064,hh_2996876
2588518,7272,9,95064,hh_2998292
2588523,7275,9,95064,hh_2996399
2588527,7276,10,95064,hh_2996733
2588529,7277,9,95064,hh_2998718
2588550,7278,9,95064,hh_3000036
2589195,7281,9,95071,hh_2561182
2589199,7283,9,95071,hh_2624507
2592142,7286,10,95061,hh_2979500
2592166,7287,10,95065,hh_3008536
2592489,7290,10,95066,hh_2982089
2592501,7291,9,95064,hh_3010260
2592592,7292,10,95063,hh_4656184
2593263,7293,10,95108,hh_2979086
2593351,7294,10,95061,hh_2981534
2593360,7296,10,95065,hh_2981205
2593362,7297,9,95068,hh_2980674
2593366,7298,10,95104,hh_3008546
2593375,7299,10,95067,hh_2980554
2593419,7300,10,132193,hh_3000498
2593445,7301,9,95062,hh_3005956
2593451,7302,9,95065,hh_3005618
2593585,7304,10,95068,hh_3000434
2596382,7308,10,95067,hh_4567338
2596410,7309,9,95061,hh_3005699
2596442,7310,8,95062,hh_2604836
2596970,7311,9,132193,hh_4576987
2597326,7312,10,95068,hh_2625047
2597364,7313,10,95065,hh_2592323
2597368,7314,9,95068,hh_2604464
2598345,7316,9,95071,hh_2620663
2598466,7317,9,95066,hh_2626922
2602493,7319,9,95071,hh_1435948
2605602,7323,9,95067,hh_2979880
2607027,7324,9,95064,hh_2994871
2607585,7325,9,95063,hh_2979808
2608132,7326,10,95066,hh_2591909
2608871,7327,10,95062,hh_2983923
2608872,7328,11,132193,hh_3008620
2608978,7329,9,95064,hh_3007704
2608979,7330,9,95062,hh_3005283
2610343,7332,10,95062,hh_3008165
2610348,7333,9,95064,hh_3007962
2612035,7335,10,95071,hh_3005320
2612039,7336,10,95062,hh_3007434
2613751,7338,12,132193,hh_3001120
2613753,7340,12,95065,hh_3008326
2613756,7341,12,95062,hh_2604508
2613761,7344,12,95061,hh_3007094
2613764,7346,12,95061,hh_3001813
2613770,7349,12,95071,hh_2982037
2613772,7351,12,136176,hh_2604632
2613774,7353,12,95068,hh_3005306
2616399,7355,9,95062,hh_2981818
2616400,7356,9,95063,hh_2982057
2616401,7357,9,95068,hh_2979156
2616404,7358,9,132193,hh_3007403
2616406,7360,10,95063,hh_2980085
2616407,7361,9,132193,hh_3000795
2616409,7362,9,95067,hh_2981999
2616423,7367,9,95067,hh_2980735
2617694,7369,9,95064,hh_2995538
2618191,7371,12,95064,hh_2994439
2619001,7373,10,95064,hh_2998649
2619020,7374,9,95071,hh_2620507
2622452,7376,12,95064,hh_2996984
2623145,7377,10,95067,hh_1434753
2624717,7378,12,95067,hh_2981109
2624746,7379,12,95066,hh_2622063
2625480,7380,9,95066,hh_2561332
2626889,7381,12,95071,hh_1383017
2626941,7382,12,95067,hh_2627425
2626979,7383,12,95064,hh_4219266
2627093,7390,11,95065,hh_2624111
2627097,7391,12,95065,hh_4996207
2627574,7393,10,95065,hh_2602538
2628421,7394,9,95062,hh_2604502
2628872,7399,9,95068,hh_3007091
2628873,7400,9,95065,hh_2605345
2628876,7402,12,95065,hh_3007017
2628877,7403,9,95062,hh_3006324
2628878,7404,9,95061,hh_3005867
2628879,7405,9,132193,hh_3001276
2628880,7406,9,95063,hh_2979865
2628888,7411,9,95063,hh_2981972
2628889,7412,9,95064,hh_3008786
2628892,7415,9,95067,hh_2605501
2629121,7417,12,95071,hh_1406828
2629179,7418,12,95066,hh_2624881
2630788,7422,9,95067,hh_2980584
2630792,7424,9,95063,hh_2979148
2631420,7430,12,136176,hh_2585052
2631565,7433,12,95064,hh_2998496
2632894,7435,10,95062,hh_2979156
2632907,7436,9,95064,hh_3007561
2632922,7437,10,95062,hh_3008714
2633001,7438,9,95071,hh_2983766
2633298,7440,9,132193,hh_2981485
2633300,7441,10,95063,hh_2980037
2633304,7444,9,95104,hh_3007933
2633305,7445,9,95062,hh_3006852
2633306,7446,10,95063,hh_2980214
2633319,7448,10,95067,hh_3006597
2633528,7451,12,95064,hh_2997453
2633550,7453,12,95064,hh_2995764
2633553,7454,12,95071,hh_2993525
2634257,7455,10,95071,hh_3018989
2634917,7456,9,95071,hh_3011467
2634961,7458,9,95062,hh_4996124
2635017,7460,10,95068,hh_3006594
2635018,7461,10,95065,hh_3006667
2635022,7463,9,95068,hh_3006865
2635268,7465,10,95066,hh_1428899
2636212,7467,9,95065,hh_2981280
2636446,7470,9,95061,hh_2982088
2636451,7472,9,95067,hh_2980375
2638071,7475,12,95065,hh_2605489
2638404,7477,9,95071,hh_2620345
2638577,7478,13,95068,hh_3000273
2638578,7479,10,95104,hh_2982035
2639592,7486,9,95064,hh_2998094
2639688,7488,9,95064,hh_2995485
2639689,7489,8,95064,hh_2994377
2640339,7490,12,95064,hh_3008209
2640426,7491,12,95062,hh_2981105
2643882,7493,10,95065,hh_3005303
2644742,7497,12,95065,hh_3012872
2644956,7499,9,132193,hh_3000926
2645225,7502,9,95062,hh_2584315
2645611,7503,9,95067,hh_2561448
2648811,7507,12,95061,hh_3703786
2648915,7508,9,95065,hh_2981820
2648916,7509,9,95067,hh_2979314
2648919,7511,9,95063,hh_2979595
2649251,7514,9,95066,hh_2982092
2649277,7515,9,95065,hh_3005289
2650368,7519,9,95062,hh_3006449
2650815,7521,11,95064,hh_2998445
2650990,7522,9,95063,hh_4655990
2651661,7525,9,95065,hh_2605462
2652836,7529,9,95064,hh_2983928
2652853,7530,9,95062,hh_2605375
2652860,7532,9,95065,hh_2626616
2652901,7533,9,95062,hh_2603758
2652902,7534,9,95062,hh_2603485
2653256,7536,9,95067,hh_3006020
2653259,7538,9,95065,hh_2624237
2653287,7539,9,95066,hh_2979190
2653934,7540,9,95068,hh_2604498
2653964,7541,9,95062,hh_2982120
2654207,7543,9,95064,hh_2994592
2654208,7544,9,95064,hh_2994352
2656197,7547,9,95071,hh_2595192
2656442,7548,9,95071,hh_2979993
2656448,7549,9,95068,hh_3006254
2659103,7553,10,95071,hh_2562987
2659679,7554,9,95063,hh_1434622
2660475,7555,10,95063,hh_2982065
2660482,7556,9,95063,hh_2979113
2660497,7560,10,95104,hh_2979410
2661187,7566,10,95065,hh_4594416
2661604,7567,9,95061,hh_2980315
2661605,7568,9,95063,hh_2979911
2661606,7569,9,95064,hh_3008781
2661615,7573,9,95061,hh_2994745
2661632,7575,9,95071,hh_3006157
2661633,7576,9,95066,hh_3006149
2661635,7577,9,95062,hh_3007270
2661636,7578,9,95061,hh_3006873
2663929,7580,9,95071,hh_2629222
2663949,7581,9,95065,hh_2560573
2664392,7583,12,95064,hh_2995632
2665542,7584,10,95063,hh_2980494
2665588,7586,9,95071,hh_2627741
2667007,7592,9,95066,hh_3006505
2667032,7593,9,95065,hh_3005405
2667037,7594,10,95066,hh_3005609
2667639,7597,10,95064,hh_3008876
2667705,7598,9,95071,hh_2627680
2669788,7603,9,95068,hh_3000809
2669875,7604,9,95062,hh_2623717
2670568,7606,9,95062,hh_2620040
2670581,7607,9,95065,hh_2624526
2670582,7608,10,95065,hh_2604973
2672778,7611,9,95065,hh_2982136
2672780,7613,9,95063,hh_2979298
2672781,7614,9,95063,hh_2980499
2672783,7615,10,95068,hh_3000637
2672790,7620,9,95067,hh_2978852
2672791,7621,9,95067,hh_4656299
2673438,7622,12,95071,hh_3006575
2674124,7623,9,95064,hh_2998801
2675042,7630,10,95067,hh_2980067
2675043,7631,9,95067,hh_2980203
2675044,7632,9,95063,hh_2979588
2675055,7640,9,95061,hh_3007192
2675057,7642,10,95068,hh_2981055
2675070,7644,9,132193,hh_3001473
2675072,7645,9,95062,hh_3005112
2675073,7646,9,95067,hh_3006609
2675075,7648,9,95065,hh_2982282
2676281,7652,9,95065,hh_3005607
2676283,7654,10,95064,hh_3011536
2676349,7655,9,95064,hh_2996708
2676364,7656,9,95064,hh_2999255
2676424,7659,9,95071,hh_2626226
2676461,7660,10,95066,hh_2604538
2678677,7662,9,95071,hh_1430551
2679743,7665,9,95068,hh_3006978
2680581,7666,10,95071,hh_2633629
2680613,7667,9,95071,hh_2584469
2681154,7673,10,132193,hh_3009016
2681156,7674,10,132193,hh_3008569
2681164,7675,9,95071,hh_2979413
2681204,7676,9,95061,hh_2981307
2683044,7678,10,95063,hh_2980043
2683173,7679,10,95062,hh_2981155
2684889,7682,9,95071,hh_2628051
2684955,7684,10,132193,hh_3000863
2687556,7688,10,95071,hh_2624631
2688491,7692,9,95068,hh_3005235
2688492,7693,9,95062,hh_3006711
2688493,7694,9,95063,hh_3005498
2688494,7695,9,95063,hh_2979463
2688499,7697,9,95067,hh_4656560
2688504,7699,9,95063,hh_4656016
2688506,7700,8,95068,hh_2978910
2688508,7702,8,95067,hh_2979727
2689946,7710,10,95062,hh_3005191
2690039,7712,10,95064,hh_3007868
2690385,7714,10,95066,hh_2982080
2691281,7715,9,95065,hh_2605207
2691417,7716,9,95066,hh_2981264
2691578,7717,9,95063,hh_3006467
2691597,7718,9,95065,hh_3006209
2691660,7720,12,95067,hh_4655924
2691689,7721,9,132193,hh_3014354
2691690,7722,10,95066,hh_3008574
2691692,7724,9,132193,hh_3014408
2693619,7725,9,132193,hh_4996286
2693623,7727,9,95067,hh_3008299
2694323,7728,9,95063,hh_1434840
2698780,7731,10,95062,hh_2604837
2698805,7732,10,95062,hh_2604589
2698863,7733,10,95062,hh_2602618
2700232,7735,9,95068,hh_2627094
2700523,7736,9,95061,hh_3009644
2701896,7737,9,95064,hh_2995094
2702497,7738,10,95062,hh_3007199
2702498,7739,9,95065,hh_2605138
2702499,7740,9,95068,hh_3006763
2702500,7741,9,95063,hh_2979374
2702502,7742,10,95063,hh_2979540
2702504,7744,9,95068,hh_3006728
2702505,7745,10,95062,hh_2604919
2702507,7747,9,95063,hh_2979962
2702509,7748,9,95064,hh_2996219
2702510,7749,10,95064,hh_2996365
2702515,7753,9,95063,hh_2979267
2702751,7754,9,95071,hh_2578416
2704207,7756,10,95065,hh_2604042
2704724,7758,9,95071,hh_2616350
2704726,7759,9,95064,hh_2995204
2705492,7760,10,95067,hh_2562450
2706847,7761,9,95068,hh_3006994
2709160,7762,9,95063,hh_2979981
2709162,7764,9,95061,hh_2980544
2709164,7766,9,95063,hh_2979172
2709171,7767,9,132193,hh_3005865
2709173,7769,9,95065,hh_3006190
2709185,7773,9,95061,hh_3000372
2709187,7774,9,95066,hh_2624718
2709188,7775,9,95062,hh_2604508
2711192,7778,9,95064,hh_2998379
2711202,7779,9,95064,hh_2984056
2711204,7780,9,95064,hh_2996719
2711208,7781,9,95064,hh_2984219
2711313,7783,9,95064,hh_2984272
2711342,7784,10,95071,hh_2589507
2711343,7785,9,95071,hh_2624385
2711373,7787,9,95067,hh_2566407
2711377,7788,10,95067,hh_2560730
2711689,7789,9,95067,hh_4656264
2711921,7790,9,95063,hh_2981755
2711922,7791,9,95062,hh_2981229
2711923,7792,9,95063,hh_2980039
2711924,7793,9,95108,hh_2979601
2711925,7794,9,95063,hh_2979152
2711928,7795,9,95061,hh_3007050
2711933,7799,10,95064,hh_3007648
2711934,7800,9,95062,hh_4657076
2711942,7805,9,95066,hh_3005983
2711948,7807,10,95067,hh_2981615
2711949,7808,10,132193,hh_3001912
2711950,7809,9,95062,hh_3006937
2711953,7812,9,95061,hh_3006627
2732204,7817,10,95068,hh_3006956
2733800,7818,9,95068,hh_3007327
2735244,7819,9,95066,hh_2981890
2750556,7820,11,95067,hh_1432004
2750557,7821,11,95071,hh_2564206
2750751,7824,9,95065,hh_2981666
2750754,7825,9,95071,hh_3008096
2752293,7826,9,95062,hh_2612848
2752635,7827,9,95065,hh_4655941
2753374,7829,11,95108,hh_3020134
2753690,7830,11,95067,hh_2560930
2753767,7831,11,95062,hh_2603232
2753833,7835,11,95064,hh_2997109
2754211,7836,10,95062,hh_2624128
2754696,7837,10,95067,hh_4996234
2756036,7839,12,95068,hh_2979247
2759395,7841,12,95071,hh_2612087
2760621,7842,9,95068,hh_3008278
2760971,7845,12,95064,hh_2994700
2761231,7848,12,95064,hh_2998256
2762794,7852,12,95065,hh_1409527
2764318,7853,10,95062,hh_3000417
2764320,7854,9,95064,hh_2995686
2764322,7855,9,95064,hh_4995866
2764431,7857,9,95064,hh_2998667
2764439,7858,9,95064,hh_2999771
2764441,7859,9,95064,hh_2997544
2765888,7861,9,95064,hh_2998582
2765921,7864,8,95062,hh_2626859
2765923,7865,9,95071,hh_2627254
2765929,7866,8,95065,hh_2981715
2766239,7871,9,95068,hh_3000440
2766247,7873,10,95067,hh_2980575
2766248,7874,9,95063,hh_2979527
2767195,7880,12,132193,hh_3001899
2767197,7881,12,95066,hh_3005871
2767203,7883,12,95062,hh_3005080
2767204,7884,12,95065,hh_2605134
2767537,7887,9,95065,hh_2995019
2767579,7889,9,95062,hh_2603579
2767866,7890,9,95071,hh_2584886
2767875,7893,9,95071,hh_2594097
2767912,7894,9,95071,hh_4656947
2768595,7896,12,95066,hh_2981639
2768598,7899,12,95063,hh_2981323
2768599,7900,12,95061,hh_3006566
2770983,7905,9,95067,hh_2980612
2771012,7907,9,132193,hh_3008460
2771016,7908,9,132193,hh_3006418
2772508,7909,10,132193,hh_3009793
2772686,7910,12,95065,hh_2604383
2772699,7911,12,95068,hh_2979063
2773913,7914,9,95071,hh_4657045
2774209,7915,12,95062,hh_2980504
2778073,7917,11,95067,hh_4576808
2778075,7918,11,95067,hh_4596484
2778081,7920,11,95067,hh_4682346
2778114,7921,11,95064,hh_4996390
2778128,7922,11,95061,hh_3000738
2778165,7924,11,95064,hh_2998838
2778207,7926,11,95018,hh_1434418
2781111,7932,9,95062,hh_3006689
2781209,7934,8,95071,hh_2618302
2781289,7935,9,132193,hh_3008485
2781291,7936,9,132193,hh_3008690
2781698,7938,9,95061,hh_2995967
2782196,7942,10,95061,hh_3008754
2783309,7944,12,95065,hh_3001842
2783312,7945,12,95065,hh_3006880
2783313,7946,12,132193,hh_2981020
2783314,7947,12,95061,hh_3006572
2783324,7950,12,95061,hh_2980629
2783330,7954,12,95062,hh_3007753
2783334,7958,12,95062,hh_3000331
2783945,7959,11,95063,hh_4656365
2784280,7964,12,95062,hh_4594850
2784310,7966,12,95067,hh_4576352
2784492,7968,12,95071,hh_1382468
2785071,7969,9,95064,hh_2994800
2786169,7972,11,95064,hh_2998543
2786176,7975,12,132193,hh_2995955
2786211,7976,12,95063,hh_2982121
2786280,7977,12,95064,hh_2994624
2788435,7979,12,95068,hh_3000196
2788436,7980,12,95068,hh_4656691
2788572,7982,10,132193,hh_3008535
2790047,7983,12,95071,hh_2577455
2791280,7988,9,95063,hh_4655913
2792679,7990,9,95061,hh_2996638
2792729,7993,9,95071,hh_1434728
2792734,7994,9,95071,hh_2621941
2792739,7995,9,95071,hh_2561970
2794242,7996,9,95061,hh_3000298
2794686,7999,9,95062,hh_2624171
2794692,8000,9,95068,hh_2604714
2794780,8003,9,95071,hh_2603295
2794978,8005,12,95064,hh_2995727
2794980,8006,12,95063,hh_4655976
2794983,8007,12,95068,hh_3000506
2794989,8011,12,95066,hh_2605029
2795280,8012,12,95063,hh_2566237
2796980,8015,11,95066,hh_2627179
2797081,8016,12,95067,hh_4656143
2797092,8020,12,95062,hh_2625097
2798299,8022,11,132193,hh_3000426
2798300,8023,9,95071,hh_2627396
2798426,8029,8,95062,hh_2620705
2798578,8030,9,95063,hh_4656795
2799131,8031,12,95066,hh_4985534
2799151,8032,12,95061,hh_3005623
2799153,8033,12,95066,hh_1410540
2800788,8034,12,95061,hh_3001047
2800789,8035,11,132193,hh_3014195
2800852,8037,12,95066,hh_2622971
2800931,8041,13,95066,hh_1428107
2800946,8042,12,95108,hh_1434844
2800987,8043,12,95068,hh_3007855
2802419,8045,12,95066,hh_1653922
2804258,8049,9,95064,hh_3008166
2804284,8051,9,95068,hh_2998550
2805372,8055,9,95068,hh_3000706
2805381,8058,9,95071,hh_2979716
2805383,8059,11,95071,hh_3008513
2805384,8060,9,95067,hh_2979635
2805385,8061,9,95066,hh_2981969
2805643,8062,9,95063,hh_2560010
2805664,8063,10,95062,hh_2604760
2807438,8066,10,95071,hh_2984111
2808366,8069,9,95067,hh_4655879
2809277,8070,9,95061,hh_4656744
2816622,8084,11,95071,hh_2611491
2817061,8086,11,95064,hh_1697887
2817063,8088,11,95064,hh_2999365
2819450,8089,9,95064,hh_2996606
2819680,8090,9,95071,hh_1391415
2819802,8091,9,95064,hh_2997545
2820753,8092,12,95064,hh_2995063
2820842,8094,12,95068,hh_2590895
2821767,8095,9,95062,hh_2620885
2822720,8097,12,95071,hh_2627036
2823270,8099,9,95071,hh_2998567
2823356,8100,9,132193,hh_3001678
2823644,8102,11,95062,hh_2603850
2823794,8103,12,95066,hh_4985342
2824668,8107,9,95064,hh_2998256
2825138,8111,9,95064,hh_2998512
2825806,8115,10,95066,hh_2623827
2826063,8116,11,95064,hh_2995911
2826064,8117,11,95064,hh_2998740
2828868,8120,11,95064,hh_2995333
2829499,8121,9,95067,hh_2982074
2829761,8122,11,95067,hh_2578445
2829957,8123,9,95064,hh_1694646
2830019,8125,9,95064,hh_2998572
2831234,8128,9,95063,hh_4655987
2831848,8132,9,95071,hh_4576949
2831858,8133,9,95062,hh_4985656
2831862,8134,9,95062,hh_4985227
2831923,8135,9,95062,hh_3007277
2834311,8140,10,95062,hh_2604044
2834468,8141,9,95066,hh_2604368
2835618,8143,12,136176,hh_2624389
2835839,8145,9,95071,hh_2591099
2836640,8146,12,95071,hh_2625508
2836716,8148,12,132193,hh_3001038
2836732,8149,12,95066,hh_2604267
2837469,8152,12,132193,hh_1875433
2838451,8155,12,95071,hh_1461176
2839387,8159,12,95066,hh_2623832
2839395,8161,12,95064,hh_2983195
2839655,8164,13,95108,hh_2980132
2839895,8165,10,95064,hh_2999538
2841280,8167,12,132193,hh_3014783
2841502,8169,9,95071,hh_1434946
2841516,8171,8,95071,hh_2605246
2844851,8174,12,95071,hh_2984528
